Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
libpcre-1.dll			C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libpcre-1.dll
libpixbufloader-png.dll			C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\lib\gdk-pixbuf-2.0\2.10.0\loaders\libpixbufloader-png.dll
libpixbufloader-svg.dll			C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\lib\gdk-pixbuf-2.0\2.10.0\loaders\libpixbufloader-svg.dll
libpixman-1-0.dll			C:\msys64\mingw64\bin\libpixman-1-0.dll
libpng16-16.dll			C:\msys64\mingw64\bin\libpng16-16.dll
librsvg-2-2.dll			C:\msys64\mingw64\bin\librsvg-2-2.dll
libstdc++-6.dll			C:\msys64\mingw64\bin\libstdc++-6.dll
libthai-0.dll			C:\msys64\mingw64\bin\libthai-0.dll
libwinpthread-1.dll	POSIX WinThreads for Windows	MingW-W64 Project. All rights reserved.	C:\msys64\mingw64\bin\libwinpthread-1.dll
libxml2-2.dll			C:\msys64\mingw64\bin\libxml2-2.dll
locale.nls			C:\Windows\System32\locale.nls
MrmCoreR.dll	Microsoft Windows MRM	Microsoft Corporation	C:\Windows\System32\MrmCoreR.dll
msasn1.dll	ASN.1 Runtime APIs	Microsoft Corporation	C:\Windows\System32\msasn1.dll
mscms.dll	DLL do Sistema de Correspondência de Cores Microsoft	Microsoft Corporation	C:\Windows\System32\mscms.dll
msctf.dll	DLL de servidor MSCTF	Microsoft Corporation	C:\Windows\System32\msctf.dll
msimg32.dll	GDIEXT Client DLL	Microsoft Corporation	C:\Windows\System32\msimg32.dll
mssprxy.dll	Microsoft Search Proxy	Microsoft Corporation	C:\Windows\System32\mssprxy.dll
msvcp_win.dll	Microsoft® C Runtime Library	Microsoft Corporation	C:\Windows\System32\msvcp_win.dll
msvcrt.dll	Windows NT CRT DLL	Microsoft Corporation	C:\Windows\System32\msvcrt.dll
mswsock.dll	Provedor de serviços do Microsoft Windows Sockets 2.0	Microsoft Corporation	C:\Windows\System32\mswsock.dll
nsi.dll	NSI User-mode interface DLL	Microsoft Corporation	C:\Windows\System32\nsi.dll
ntdll.dll	DLL de nível do NT	Microsoft Corporation	C:\Windows\System32\ntdll.dll
ntmarta.dll	Provedor MARTA do Windows NT	Microsoft Corporation	C:\Windows\System32\ntmarta.dll
ole32.dll	Microsoft OLE para Windows	Microsoft Corporation	C:\Windows\System32\ole32.dll
oleaut32.dll	OLEAUT32.DLL	Microsoft Corporation	C:\Windows\System32\oleaut32.dll
profapi.dll	User Profile Basic API	Microsoft Corporation	C:\Windows\System32\profapi.dll
propsys.dll	Sistema de Propriedades  Microsoft	Microsoft Corporation	C:\Windows\System32\propsys.dll
rpcrt4.dll	Tempo de Execução da Chamada de Procedimento Remoto	Microsoft Corporation	C:\Windows\System32\rpcrt4.dll
sechost.dll	Host for SCM/SDDL/LSA Lookup APIs	Microsoft Corporation	C:\Windows\System32\sechost.dll
setupapi.dll	API de instalação do Windows	Microsoft Corporation	C:\Windows\System32\setupapi.dll
SHCore.dll	SHCORE	Microsoft Corporation	C:\Windows\System32\SHCore.dll
shell32.dll	DLL comum do Shell do Windows	Microsoft Corporation	C:\Windows\System32\shell32.dll
shlwapi.dll	Biblioteca de utilitário abreviado para Shell	Microsoft Corporation	C:\Windows\System32\shlwapi.dll
SortDefault.nls			C:\Windows\Globalization\Sorting\SortDefault.nls
TextInputFramework.dll	"TextInputFramework.DYNLINK"	Microsoft Corporation	C:\Windows\System32\TextInputFramework.dll
twinapi.appcore.dll	twinapi.appcore	Microsoft Corporation	C:\Windows\System32\twinapi.appcore.dll
ucrtbase.dll	Microsoft® C Runtime Library	Microsoft Corporation	C:\Windows\System32\ucrtbase.dll
user32.dll	DLL de cliente API de usuário Windows para multiusuários	Microsoft Corporation	C:\Windows\System32\user32.dll
userenv.dll	Userenv	Microsoft Corporation	C:\Windows\System32\userenv.dll
usp10.dll	Uniscribe Unicode script processor	Microsoft Corporation	C:\Windows\System32\usp10.dll
uxtheme.dll	Biblioteca UxTheme Microsoft	Microsoft Corporation	C:\Windows\System32\uxtheme.dll
win32u.dll	Win32u	Microsoft Corporation	C:\Windows\System32\win32u.dll
WindowManagementAPI.dll			C:\Windows\System32\WindowManagementAPI.dll
Windows.ApplicationModel.dll	Servidor da API Windows ApplicationModel	Microsoft Corporation	C:\Windows\System32\Windows.ApplicationModel.dll
Windows.FileExplorer.Common.dll	Windows.FileExplorer.Common	Microsoft Corporation	C:\Windows\System32\Windows.FileExplorer.Common.dll
Windows.StateRepositoryCore.dll	Windows StateRepository API Core	Microsoft Corporation	C:\Windows\System32\Windows.StateRepositoryCore.dll
windows.storage.dll	API de Armazenamento Microsoft WinRT	Microsoft Corporation	C:\Windows\System32\windows.storage.dll
Windows.UI.dll	Windows Runtime UI Foundation DLL	Microsoft Corporation	C:\Windows\System32\Windows.UI.dll
WindowsCodecs.dll	Microsoft Windows Codecs Library	Microsoft Corporation	C:\Windows\System32\WindowsCodecs.dll
winhttp.dll	Windows HTTP Services	Microsoft Corporation	C:\Windows\System32\winhttp.dll
winmm.dll	MCI API DLL	Microsoft Corporation	C:\Windows\System32\winmm.dll
winspool.drv	Driver de spooler do Windows	Microsoft Corporation	C:\Windows\System32\winspool.drv
wintrust.dll	Microsoft Trust Verification APIs	Microsoft Corporation	C:\Windows\System32\wintrust.dll
WinTypes.dll	DLL dos Tipos de Base do Windows	Microsoft Corporation	C:\Windows\System32\WinTypes.dll
wldp.dll	Política de Bloqueio do Windows	Microsoft Corporation	C:\Windows\System32\wldp.dll
ws2_32.dll	DLL de 32 bits do Windows Socket 2.0	Microsoft Corporation	C:\Windows\System32\ws2_32.dll
zlib1.dll			C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\zlib1.dll
